Title,Titre Originale,Score,Genre,Année,Durée,Description,Acteurs,Public,Pays
Samurai Jack,,8.5,Animation,2001–2017,25m,"A samurai, sent through time, fights to return home and save the world.","Phil LaMarr,Mako,Kevin Michael Richardson,Jeff Bennett,Grey Griffin,Tara Strong,Tom Kenny,Daran Norris,Greg Baldwin,John DiMaggio,Jennifer Hale,Dee Bradley Baker,Sab Shimono,Richard McGonagle,Lauren Tom,Keone Young,Rob Paulsen,Clyde Kusatsu",TV-MA,United States
Letterkenny,,8.7,Comedy,2016– ,30m,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.","Jared Keeso,Nathan Dales,Michelle Mylett,K. Trevor Wilson,Dylan Playfair,Andrew Herr,Tyler Johnston,Evan Stern,Lisa Codrington,Kamilla Kowal,Patrick McNeil,Jacob Tierney,Dan Petronijevic,Mark Forward,Clark Backo,Jay Bertin,Joel Gagne,Kaniehtiio Horn",TV-MA,Canada
Through the Wormhole,,8.6,Documentary,2010–2017,1h,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pondered by the most exquisite minds of the human race. Now, science has evolved to the point ...","Morgan Freeman,Sean Carroll,Michio Kaku,Kip Thorne,Carlos Frenk,Max Tegmark,Lee Smolin,Paul Davies,Janna Levin,Frank Tipler,Frank Close,Michael Persinger,Andy Albrecht,Paul Steinhardt,Will Wright,David Spergel,Alan Guth,Steve Nahn",TV-PG,United States
Whose Line Is It Anyway?,,8.5,Comedy,1998–2007,30m,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,"Drew Carey,Colin Mochrie,Ryan Stiles,Laura Hall,Wayne Brady,Linda Taylor,Cece Worrall Rubin,Greg Proops,Brad Sherwood,Charles Esten,Kathryn Greenwood,Denny Siegel,Anne King,Jeff Bryan Davis,Anna Wanselius,Kathy Griffin,Karen Maruyama,Whoopi Goldberg",TV-PG,United States
The Office,,8.5,Comedy,2001–2003,30m,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,"Ricky Gervais,Martin Freeman,Mackenzie Crook,Lucy Davis,Ewen MacIntosh,Ben Bradshaw,Jamie Deeks,Jane Lucas,Emma Manton,Alexander Perkins,Philip Pickard,Joel Beckett,Patrick Baladi,Julie Fernandez,Rachel Isaac,Howard Saddler,Ralph Ineson,Stirling Gallacher",TV-MA,United Kingdom
The Rehearsal,,8.6,Documentary,2022– ,30m,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,"Nathan Fielder,Journey Baker,Anna Lamadrid,Sawyer J. Bell,Lennon O'Flynn,James O'Neill,Alexander Leiss,Remy Taylor,Joshua James Benard,Liam Risinger,Jennifer Khoe,Thomas McNamara,Gigi Burgdorf,Isaac Lamb,Charlie Cherman,K. Todd Freeman,Vincent Cefalu,Keaton Fields",TV-MA,United States
Louie,,8.5,Comedy,2010–2015,22m,"The life of Louie C.K., a divorced comedian living in New York with two kids.","Louis C.K.,Hadley Delany,Ursula Parker,Pamela Adlon,Deanna Mustard,Scott Reyns,Steve Fabricant,Susan Kelechi Watson,Nick Di Paolo,Todd Barry,Jim Norton,Robert Kelly,William Stephenson,Edward Gelbinovich,Gary Wilmes,Eszter Balint,Ellen Burstyn,Charles Grodin",TV-MA,United States
I'm Alan Partridge,,8.6,Comedy,1997–2002,29m,"A failed television presenter, now presenting a programme on local desperately tries to revive his broadcasting career.","Steve Coogan,Simon Greenall,Felicity Montagu,Phil Cornwell,Andrew Burt,Amelia Bullmore,Barbara Durkin,Sally Phillips,James Lance,Tim Dantay,David Schneider,Simon Ludders,Danny Cunningham,Terence Booth,Michael Wardle,Peter Baynham,Polly Kemp,Rob Brydon",TV-MA,United Kingdom
The Family Man,,8.7,Action,2019– ,45m,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.","Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani,Sharib Hashmi,Ashlesha Thakur,Vedant Sinha,Shahab Ali,Shreya Dhanwanthary,Sharad Kelkar,Dalip Tahil,Darshan Kumaar,Sunny Hinduja,Aritro Rudraneil Banerjee,Pawan Chopra,Neeraj Madhav,Mime Gopi,Srikrishna Dayal,Vijay Vikram Singh",TV-14,India
Mr. Robot,,8.5,Crime,2015–2019,49m,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Rami Malek,Christian Slater,Carly Chaikin,Martin Wallström,Portia Doubleday,Michael Cristofer,Grace Gummer,BD Wong,Stephanie Corneliussen,Vaishnavi Sharma,Gloria Reuben,Sunita Mani,Azhar Khan,Joey Bada$$,Omar Metwally,Michael Drayer,Michel Gill,Jeremy Holm",TV-MA,United States
The IT Crowd,,8.5,Comedy,2006–2013,25m,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.","Chris O'Dowd,Richard Ayoade,Katherine Parkinson,Matt Berry,Christopher Morris,Noel Fielding,Graham Linehan,Tom Binns,Lewis Macleod,Belinda Stewart-Wilson,Peter Serafinowicz,Gemma Chan,Cordelia Bugeja,Togo Igawa,John Willie Hopkins,Dolly Wells,Pete Deagle,Ben Moor",TV-14,United Kingdom
Samurai Champloo,Samurai chanpurû,8.6,Animation,2004–2005,24m,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""","Kazuya Nakai,Ginpei Sato,Ayako Kawasumi,Steve Blum,Kirk Thornton,Kari Wahlgren,Doug Stone,Erik Davies,Masakazu Kohara,Tsuguo Mogami,Shunsuke Sakuya,Yoshinori Sonobe,Masao Harada,Takehiro Murozono,Paul St. Peter,Steve Kramer,Kim Strauss,Doug Erholtz",TV-MA,Japan
"Yes, Prime Minister",,8.6,Comedy,1986–1987,30m,James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,"Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,Deborah Norton,John Nettleton,Peter Cellier,Miranda Forbes,Frederick Treves,Antony Carrick,Barry Stanton,Donald Pickering,Peter Cartwright,Frank Middlemass,Clive Francis,Michael Aldridge,John Barron,John Wells",TV-PG,United Kingdom
Long Way Round,,8.6,Documentary,2004–2010,315m,"This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongolia, and Alaska, before finally ending the journey in New York. The filming will be done by on board cameras and one ride along cameraman.","Ewan McGregor,Charley Boorman,David Alexanian,Russ Malkin,Claudio von Planta,Jimmy Simak,Eve Mavrakis,Olly Boorman,Doone Boorman,Kinvara Boorman,Jim McGregor,John Boorman,Carol McGregor,Daisy Boorman,Christel Kruse Boorman,Margrit von Planta,Natalie Portman,Paul Teutul Sr.",TV-PG,United Kingdom
What We Do in the Shadows,,8.6,Comedy,2019– ,30m,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,"Kayvan Novak,Matt Berry,Natasia Demetriou,Harvey Guillén,Mark Proksch,Kristen Schaal,Anthony Atamanuik,Doug Jones,Parisa Fakhri,Violet Tinnirello,Anoop Desai,Veronika Slowikowska,Chris Sandiford,Jean-Michel Richaud,Liam McKenna,Jake McDorman,Beanie Feldstein,Jason Sklar",TV-MA,United States
Formula 1: Drive to Survive,,8.6,Documentary,2019– ,40m,Docuseries following the FIA Formula One World Championship across multiple seasons.,"Will Buxton,Jack Nicholls,Daniel Ricciardo,Lewis Hamilton,Max Verstappen,Sergio Pérez,Carlos Sainz,Charles Leclerc,Pierre Gasly,Sebastian Vettel,Kevin Magnussen,Lance Stroll,Valtteri Bottas,Kimi Räikkönen,Lando Norris,George Russell,Toto Wolff,Esteban Ocon",TV-MA,United Kingdom
Black Sun,Senke nad Balkanom,8.9,Crime,2017– ,1h,"A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.","Andrija Kuzmanovic,Marija Bergam,Dragan Bjelogrlic,Jovana Stojiljkovic,Nenad Jezdic,Gordan Kicic,Goran Bogdan,Aleksandar Gligoric,Nebojsa Dugalic,Aleksandar Stojkovic,Slobodan 'Boda' Ninkovic,Branimir Brstina,Marko Zivic,Milos Samolov,Srdjan 'Zika' Todorovic,Toni Mihajlovski,Petre Arsovski,Vojislav 'Voja' Brajovic",TV-MA,Serbia
Spaced,,8.6,Action,1999–2001,25m,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.","Simon Pegg,Jessica Hynes,Julia Deakin,Nick Frost,Mark Heap,Katy Carmichael,Aida the Dog,Lucy Akhurst,Anna Wilson-Jones,Bill Bailey,James Lance,Peter Serafinowicz,Clive Russell,Sally Grace,Rowena Cooper,Michael Smiley,Gemma Padley,Jonathan Ryland",TV-14,United Kingdom
Impractical Jokers,,8.6,Comedy,2011– ,30m,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.","James Murray,Brian Quinn,Sal Vulcano,Joe Gatto,Casey Jost,Rob Emmer,Cole Weber,John Szeluga,Drew Patterson,Daniel Cast,Frank Contacessa,Joey Fatone,Bill St. James,Joe Imburgio,Jay Miller,Chavon Deberry,Johnna Scrabis,Bryan Johnson",TV-14,United States
The Bureau,Le Bureau des Légendes,8.7,Drama,2015– ,52m,,"Mathieu Kassovitz,Florence Loiret Caille,Jonathan Zaccaï,Sara Giraudeau,Jules Sagot,Zineb Triki,Jean-Pierre Darroussin,Irina Muluile,Gilles Cohen,Artus,Alexandre Brasseur,Patrick Ligardes,Léa Drucker,Mathieu Amalric,Aleksey Gorbunov,Michaël Abiteboul,Pauline Etienne,Anne Azoulay",TV-MA,France
Coupling,,8.6,Comedy,2000–2004,30m,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,"Jack Davenport,Gina Bellman,Sarah Alexander,Kate Isitt,Ben Miles,Richard Coyle,Richard Mylan,Lou Gish,Olivia Caffrey,Mariella Frostrup,Lloyd Owen,Elizabeth Marmur,Emilia Fox,Adam Astill,Michael Price,Amanda Abbington,William Scott-Masson,Raji James",TV-14,United Kingdom
The Venture Bros.,,8.6,Animation,2003–2018,22m,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.","Christopher McCulloch,James Urbaniak,Doc Hammer,Michael Sinterniklaas,Patrick Warburton,Steven Rattazzi,Paul Boocock,Soul-Bot,Lisa Hammer,Dana Snyder,Mia Barron,Brendon Small,Charles Parnell,Mark Gagliardi,Hal Lublin,Cristin Milioti,Kate McKinnon,Nina Hellman",TV-14,United States
Battlestar Galactica,,8.5,Action,2003,183m,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.","Edward James Olmos,Mary McDonnell,Katee Sackhoff,Jamie Bamber,James Callis,Tricia Helfer,Callum Keith Rennie,Grace Park,Michael Hogan,Matthew Bennett,Paul Campbell,Aaron Douglas,Barclay Hope,Lorena Gale,Kandyse McClure,Connor Widdows,John Mann,Alessandro Juliani",TV-14,United States
Dragon Ball,,8.6,Animation,1995–2003,24m,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.","Brice Armstrong,Steve Olson,Stephanie Nadolny,Zoe Slusar,Christopher Sabat,Tiffany Vollmer,Leda Davies,Mike McFarland,Monika Antonelli,Victor Atelevich,Chris Simms,Bradford Jackson,Mike Thiessen,Laurie Steele,Meredith McCoy,John Burgmeier,Rocío Garcel,Chuck Huber",TV-14,Japan
El Chavo del Ocho,,8.7,Comedy,1972–1983,30m,"The misadventures of a poor, homeless, fumbling boy and his friends in their humble neighborhood.","Ramón Valdés,Carlos Villagrán,Roberto Gómez Bolaños,María Antonieta de las Nieves,Florinda Meza,Edgar Vivar,Rubén Aguirre,Angelines Fernández,Horacio Gómez Bolaños,Ricardo de Pascual,Maribel Fernández,Olivia Leyva,Raúl 'Chato' Padilla,Ana Lilian De La Macorra,Rosita Bouchot,Patty Juarez,Beatriz Moreno,Enrique Segoviano",TV-PG,Mexico
Dragon Ball,Doragon bôru,8.6,Animation,1986–1989,25m,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.","Masako Nozawa,Jôji Yanami,Brice Armstrong,Matina Karra,Stephanie Nadolny,Hiromi Tsuru,Mayumi Tanaka,Tôru Furuya,Naoko Watanabe,Kôhei Miyauchi,Christopher Sabat,Mike McFarland,Naoki Tatsuta,Tiffany Vollmer,Mami Koyama,Kenji Utsumi,Monika Antonelli,Bradford Jackson",TV-14,Japan
Flight of the Conchords,,8.6,Comedy,2007–2009,28m,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.","Jemaine Clement,Bret McKenzie,Rhys Darby,Kristen Schaal,Arj Barker,Frank Wood,Eugene Mirman,David Costabile,Sutton Foster,Rachel Blanchard,Brian Sergent,Adrian Martinez,Lenny Venito,José Ramón Rosario,Kelly Taffe,Victor Williams,Will Forte,Aziz Ansari",TV-MA,United States
Homicide: Life on the Street,,8.7,Crime,1993–1999,1h,Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,"Richard Belzer,Clark Johnson,Yaphet Kotto,Kyle Secor,Andre Braugher,Melissa Leo,Reed Diamond,Sharon Ziman,Peter Gerety,Jon Seda,Toni Lewis,Isabella Hofmann,Callie Thorne,Clayton LeBouef,Zeljko Ivanek,Max Perlich,Daniel Baldwin,Ned Beatty",TV-14,United States
Justice League,,8.6,Animation,2001–2004,22m,Seven of the most formidable heroes form arguably the most powerful team ever.,"Carl Lumbly,Phil LaMarr,Michael Rosenbaum,George Newbern,Maria Canals-Barrera,Kevin Conroy,Susan Eisenberg,Jason Marsden,Mark Hamill,Clancy Brown,Corey Burton,Jennifer Hale,Phil Morris,Olivia d'Abo,Susan Sullivan,Richard Doyle,Brian George,Kevin Michael Richardson",TV-PG,United States
The Queen's Gambit,,8.6,Drama,2020,1h,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","Anya Taylor-Joy,Chloe Pirrie,Bill Camp,Marcin Dorocinski,Marielle Heller,Thomas Brodie-Sangster,Moses Ingram,Harry Melling,Isla Johnston,Janina Elkin,Matthew Dennis Lewis,Russell Dennis Lewis,Patrick Kennedy,Christiane Seidel,Jacob Fortune-Lloyd,Akemnji Ndifornyen,Annabeth Kelly,Dolores Carbonari",TV-MA,United States
The Eric Andre Show,,8.6,Comedy,2012– ,11m,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.","Eric André,Hannibal Buress,Tom Ato,Early McCalister,Pfelton Sutton,Jerry Wheeler,Robert Smith,John Bueno,Adora Dei,JV Smith,Pat Regan,Jermaine Fowler,Gary Anthony Williams,Tom Kane,Felipe Esparza,Karen Elaine,Duane R. Shepard Sr.,Don Peake",TV-MA,United States
The Haunting of Hill House,,8.6,Drama,2018,572m,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","Michiel Huisman,Carla Gugino,Henry Thomas,Elizabeth Reaser,Oliver Jackson-Cohen,Kate Siegel,Victoria Pedretti,Lulu Wilson,Mckenna Grace,Paxton Singleton,Julian Hilliard,Violet McGraw,Timothy Hutton,Natalia Rosminati,Anthony Ruivivar,Samantha Sloyan,Annabeth Gish,Robert Longstreet",TV-MA,United States
The Bugs Bunny Show,,8.6,Animation,1960–1975,30m,TV series featuring the classic Looney Tunes animated shorts.,"Mel Blanc,June Foray,Daws Butler,Bea Benaderet,Jim Backus,Hal Smith,Stan Freberg,B.J. Ward,Billy Bletcher,Julie Bennett,Ben Frommer,Joan Gerber,Arthur Q. Bryan,Nicolai Shutorev",TV-G,United States
Crash Landing on You,Sa-rang-eui bul-shi-chak,8.7,Adventure,2019–2020,70m,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,"Hyun Bin,Son Ye-jin,Seo Ji-hye,Kim Jung-hyun,Yang Kyung-won,Yoo Su-bin,Lee Sin-young,Tang Joon-sang,Kim Sun-young,Jang So-yeon,Kim Jung-nan,Cha Cheong-hwa,Oh Man-seok,Park Hyoung-soo,Go Gyu-pil,Park Myeong-hoon,Kim Young-min,Hwang Woo-seul-hye",TV-14,South Korea
The Newsroom,,8.6,Drama,2012–2014,55m,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.","Jeff Daniels,Emily Mortimer,John Gallagher Jr.,Alison Pill,Thomas Sadoski,Dev Patel,Olivia Munn,Sam Waterston,Chris Chalk,Margaret Judson,Adina Porter,John F. Carpenter,Thomas Matthews,Trieu Tran,Charlie Weirauch,Wynn Everett,Riley Voelkel,Chris Messina",TV-MA,United States
Making a Murderer,,8.6,Documentary,2015–2018,1h,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.","Steven Avery,Dolores Avery,Laura Nirider,Allan Avery,Dean Strang,Jerry Buting,Kathleen Zellner,Barb Tadych,Ken Kratz,Brendan Dassey,Len Kachinsky,Kim Ducat,Steven Drizin,Sandra Greenman,Stephen Glynn,Chuck Avery,Robert Dvorak,Peter Dassey",TV-14,United States
Boardwalk Empire,,8.6,Crime,2010–2014,55m,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,"Steve Buscemi,Kelly Macdonald,Michael Shannon,Shea Whigham,Stephen Graham,Vincent Piazza,Michael Kenneth Williams,Paul Sparks,Gretchen Mol,Michael Stuhlbarg,Anthony Laciura,Jack Huston,Anatol Yusef,Brady Noon,Connor Noon,Lucy Gallina,Josie Gallina,Declan McTigue",TV-MA,United States
Justified,,8.6,Action,2010–2015,44m,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.","Timothy Olyphant,Nick Searcy,Joelle Carter,Jacob Pitts,Erica Tazel,Walton Goggins,Natalie Zea,Jere Burns,David Meunier,Jonathan Kowalsky,Russell Bertolino,Rick Gomez,Raymond J. Barry,Jesse Luken,Damon Herriman,Jeremy Davies,Justin Welborn,Mykelti Williamson",TV-MA,United States
Pose,,8.6,Drama,2018–2021,1h,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.","Michaela Jaé (MJ) Rodriguez,Dominique Jackson,Indya Moore,Angel Bismark Curiel,Billy Porter,Hailie Sahar,Dyllon Burnside,Jason A. Rodriguez,Ryan Jamaal Swain,Jeremy McClain,Angelica Ross,Sandra Bernhard,Alexia Garcia,Jiggly Caliente,Jack Mizrahi,Leiomy Maldonado,Evan Peters,Charlayne Woodard",TV-MA,United States
Yes Minister,,8.7,Comedy,1980–1984,30m,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.","Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,John Nettleton,Neil Fitzwiliam,Arthur Cox,John Savident,John Pennington,Antony Carrick,Robert Dougall,Richard Vernon,Tenniel Evans,John Barron,Ian Lavender,Nigel Stock,Edward Jewesbury,Rosemary Williams",TV-PG,United Kingdom
QI,,8.6,Comedy,2003– ,30m,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.","Alan Davies,Stephen Fry,Sandi Toksvig,Bill Bailey,Phill Jupitus,Jimmy Carr,Jo Brand,David Mitchell,Sean Lock,Rich Hall,Ross Noble,Jason Manford,Josh Widdicombe,Aisling Bea,Holly Walsh,Clive Anderson,Sue Perkins,Rob Brydon",TV-PG,United Kingdom
Poirot,,8.6,Crime,1989–2013,100m,"The cases of eccentric, but sharp, Belgian detective Hercule Poirot.","David Suchet,Hugh Fraser,Philip Jackson,Pauline Moran,David Yelland,Zoë Wanamaker,Richard Bebb,George Little,Phillip Manikum,Jona Jones,Patrick Ryecart,Nicholas Farrell,Barbara Barnes,John Carson,Richard Hope,Richard Durden,Sean Pertwee,Beatie Edney",TV-14,United Kingdom
Dopesick,,8.6,Drama,2021,492m,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.","Michael Keaton,Peter Sarsgaard,Michael Stuhlbarg,Will Poulter,John Hoogenakker,Kaitlyn Dever,Rosario Dawson,Will Chase,Mare Winningham,Ray McKinnon,Phillipa Soo,Ian Unterman,Brendan Patrick Connor,Raúl Esparza,Lawrence Arancio,Arischa Conner,Andrea Frankle,Deadra Moore",TV-MA,United States
Anne with an E,Anne,8.7,Drama,2017–2019,1h,"The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.","Amybeth McNulty,Geraldine James,R.H. Thomson,Dalila Bela,Lucas Jade Zumann,Corrine Koslo,Helen Johns,Aymeric Jett Montaz,Kyla Matthews,Jonathan Holmes,Lia Pappas-Kemps,Jacob Ursomarzo,Dalmar Abuzeid,Miranda McKeon,Jacob Horsley,Glenna Walters,Christian Martyn,Philip Williams",TV-PG,Canada
Mr. Bean,,8.6,Comedy,1990–1995,25m,"Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.","Rowan Atkinson,Matilda Ziegler,Robin Driscoll,Matthew Ashforde,Roger Sloman,Susie McKenna,Nick Hancock,C.J. Allen,Rupert Vansittart,Howard Goodall,Hugo Mendez,Christopher Driscoll,Rupert Bates,Paul Bown,Dave O'Higgins,Angus Deayton,Richard Wilson,Michael Fenton Stevens",TV-G,United Kingdom
Heartstopper,,8.7,Drama,2022– ,30m,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,"Joe Locke,Kit Connor,Yasmin Finney,William Gao,Cormac Hyde-Corrin,Tobie Donovan,Rhea Norwood,Sebastian Croft,Olivia Colman,Emily Ng,Ashwin Vishwanath,Evan Ovenell,Araloyin Oshunremi,Corinna Brown,Jenny Walser,Kizzy Edgell,Echo,Fisayo Akinade",TV-14,United Kingdom
Haikyu!!,Haikyuu!!,8.7,Animation,2014–2020,24m,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.","Ayumu Murase,Kaito Ishikawa,Yu Hayashi,Satoshi Hino,Miyu Irino,Kôki Uchiyama,Sôma Saitô,Nobuhiko Okamoto,Yoshimasa Hosoya,Hiroshi Kamiya,Toshiki Masuda,Adam Gibbs,Bryson Baugus,Scott Gibbs,Gabriel Regojo,Greg Cote,Justin Doran,Blake Shepard",TV-14,Japan
The Offer,,8.7,Biography,2022,586m,Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,"Miles Teller,Matthew Goode,Dan Fogler,Burn Gorman,Colin Hanks,Giovanni Ribisi,Juno Temple,Jake Cannavale,Lou Ferrigno,Josh Zuckerman,Anthony Ippolito,Meredith Garretson,Patrick Gallo,Joseph Russo,Anthony Skordi,Eric Balfour,Paul McCrane,Annie Funke",TV-MA,United States
Young Justice,,8.6,Animation,2010–2022,23m,Teenage superheroes strive to prove themselves as members of the Justice League.,"Nolan North,Danica McKellar,Jesse McCartney,Stephanie Lemelin,Khary Payton,Jason Spisak,Kevin Michael Richardson,Zehra Fazal,Troy Baker,Bruce Greenwood,Phil LaMarr,Crispin Freeman,Lacey Chabert,Greg Cipes,Dee Bradley Baker,Grey Griffin,Masasa Moyo,Yuri Lowenthal",TV-PG,United States
Blackadder the Third,,8.6,Comedy,1987,3h,"In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.","Rowan Atkinson,Tony Robinson,Hugh Laurie,Helen Atkinson Wood,Robbie Coltrane,Hugh Paddick,Tim McInnerny,Miranda Richardson,Stephen Fry,Kenneth Connor,Vincent Hanna,Nigel Planer,Warren Clarke,Denis Lill,Lee Cornes,Gertan Klauber,Chris Barrie,Ben Elton",TV-PG,United Kingdom
Yellowstone,,8.7,Drama,2018–2023,1h,A ranching family in Montana faces off against others encroaching on their land.,"Kevin Costner,Luke Grimes,Kelly Reilly,Wes Bentley,Cole Hauser,Kelsey Asbille,Brecken Merrill,Jefferson White,Gil Birmingham,Forrie J. Smith,Denim Richards,Ian Bohen,Mo Brings Plenty,Jake Ream,Ryan Bingham,Jen Landon,Wendy Moniz,Ethan Lee",TV-MA,United States
Gomorrah,La serie,8.7,Crime,2014–2021,55m,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,"Salvatore Esposito,Marco D'Amore,Ivana Lotito,Cristiana Dell'Anna,Alessandro Palladino,Fortunato Cerlino,Arturo Muselli,Roberto Oliveri,Brian Flaccus,Fabio De Caro,Cristina Donadio,Christian Giroso,Giovanni Buselli,Vincenzo Fabricino,Riccardo Ciccarelli,Carmine Monaco,Lino Musella,Gianni Spezzano",TV-MA,Italy
The Return of Sherlock Holmes,,8.7,Crime,1986–1988,1h,"Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.","Jeremy Brett,Edward Hardwicke,Rosalie Williams,Colin Jeavons,Denis Lill,Eric Sykes,Harry Andrews,James Hazeldine,Alan Howard,Clive Francis,Eric Porter,Paul Williamson,Freddie Jones,Charles Gray,Denis Quilley,Peter Barkworth,Patricia Hodge,Michael Culver",TV-PG,United Kingdom
Mystery Science Theater 3000,,8.7,Comedy,1988–1999,92m,"In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.","Joel Hodgson,Michael J. Nelson,Trace Beaulieu,Kevin Murphy,Jim Mallon,Frank Conniff,Mary Jo Pehl,Bill Corbett,Patrick Brantseg,Alexandra Carr,Paul Chaplin,J. Elvis Weinstein,Bridget Jones,Beez McKeever,Peter Rudrud,Bradley J. Keely,Nathan Molstead,Timothy Scott",TV-14,United States
Mindhunter,,8.6,Crime,2017–2019,1h,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","Jonathan Groff,Holt McCallany,Anna Torv,Hannah Gross,Sonny Valicenti,Stacey Roca,Joe Tuttle,Zachary Scott Ross,Cotter Smith,Albert Jones,Lauren Glazier,Michael Cerveris,Dohn Norwood,Gareth Williams,June Carryl,Cameron Britton,Nate Corddry,Sierra Aylina McClain",TV-MA,United States
Yeh Meri Family,,9.0,Comedy,2018,30m,Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,"Vishesh Bansal,Mona Singh,Akarsh Khurana,Ahan Nirban,Ruhi Khan,Prasad Reddy,Revathi Pillai,Brij Bhushan Shukla,Nishaad Javeri,Jai Shankar Tripathi,Burjor Dastur,Mazda Taraporewala,Abhinay Raj Singh,Dinesh,Mukesh Yadav,Aman Malhotra,Rajiv Kachroo,Vijay Koshy",TV-14,India
