Title,Titre Originale,Score,Genre,Année,Durée,Description,Acteurs,Public,Pays
Das Boot,,8.8,Drama,1985,293m,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge,Bernd Tauber,Erwin Leder,Martin May,Heinz Hoenig,Uwe Ochsenknecht,Claude-Oliver Rudolph,Jan Fedder,Ralf Richter,Joachim Bernhard,Oliver Stritzel,Konrad Becker,Lutz Schnell,Martin Hemme",TV-MA,West Germany
The Last of Us,,8.9,Action,2023– ,50m,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.","Pedro Pascal,Bella Ramsey,Anna Torv,Lamar Johnson,Melanie Lynskey,Nico Parker,Merle Dandridge,Keivonn Woodard,Jeffrey Pierce,John Getz,Gabriel Luna,Samuel Hoeksema,Olivier Ross-Parent,Storm Reid,Scott Shepherd,Ashley Johnson,Nick Offerman,Troy Baker",TV-MA,Canada
Taskmaster,,9.0,Comedy,2015– ,47m,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.","Greg Davies,Alex Horne,Kerry Godliman,Ed Gamble,Richard Herring,Lou Sanders,Alan Davies,Liza Tarbuck,James Acaster,Asim Chaudhry,Sian Gibson,David Baddiel,Daisy May Cooper,Sarah Kendall,Desiree Burch,Bridget Christie,Fern Brady,Frankie Boyle",TV-14,United Kingdom
Monty Python's Flying Circus,,8.8,Comedy,1969–1974,30m,The original surreal sketch comedy showcase for the Monty Python troupe.,"Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones,Michael Palin,Carol Cleveland,John Hughman,Monty Python,Ian Davidson,The Fred Tomlinson Singers,Frank Lester,Bob Raymond,Connie Booth,Lyn Ashley,Rita Davies,Maureen Flanagan,Peter Brett",TV-14,United Kingdom
It's Always Sunny in Philadelphia,,8.8,Comedy,2005– ,22m,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,"Charlie Day,Rob McElhenney,Kaitlin Olson,Glenn Howerton,Danny DeVito,Mary Elizabeth Ellis,David Hornsby,Artemis Pebdani,Lynne Marie Stewart,Sandy Martin,David Zdunich,Lance Barber,Andrew Friedman,Gregory Scott Cummins,Jimmi Simpson,Nate Mooney,Michael Naughton,Catherine Reitman",TV-MA,United States
TVF Pitchers,,9.1,Comedy,2015–2022,40m,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,"Naveen Kasturia,Arunabh Kumar,Abhay Mahajan,Gopal Datt,Pranav Bhasin,Jasmeet Singh Bhatia,Jitendra Kumar,Shreya Singh,Ronjini Chakraborty,Vidushi Kaul,Saad Bilgrami,Ketaki Narayan,Luv Vispute,Madan Deodhar,Durin Das,Riddhi Dogra,Akanksha Thakur,Maanvi Gagroo",TV-MA,India
Africa,,8.9,Documentary,2013,6h,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.","David Attenborough,Simon Blakeney,Mark Deeble,Kevin Flay,Hugh Pearson,Mark MacEwen,Bill Rudolph,Warwick Sloss,Justine Evans,James Aldred,Martyn Colbeck,Matthew Wright,Justin Maguire,Mike Fox,E.O. Wilson,Hugh Miller,Olubi Lairumbe,Andres Bifani",TV-PG,United Kingdom
Apocalypse: The Second World War,La 2ème guerre mondiale,9.0,Documentary,2009,312m,"This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.","Mathieu Kassovitz,Martin Sheen,Rudolf Hess",TV-MA,France
Friends,,8.9,Comedy,1994–2004,22m,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,"Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc,Matthew Perry,David Schwimmer,James Michael Tyler,Elliott Gould,Christina Pickles,Maggie Wheeler,Paul Rudd,Jane Sibbett,Helen Baxendale,Jessica Hecht,June Gable,Tom Selleck,Giovanni Ribisi,Aisha Tyler",TV-14,United States
Last Week Tonight with John Oliver,,8.9,Comedy,2014– ,30m,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,"John Oliver,David Kaye,Ryan Barger,Noel MacNeal,Alberto Bonilla,H. Jon Benjamin,Susan Evans,Rachel Dratch,James Wojtal,Gilbert Gottfried,Kyle Ploof,Paul McGinnis,Michael Torpey,George Clooney,Nick Offerman,Moujan Zolfaghari,Alex Webb,Thomas Kopache",TV-MA,United States
